timestamp,cpu_percent,memory_percent,swap_percent,disk_read_rate,disk_write_rate,network_send_rate,network_receive_rate
1745312060.2480204,7.7,82.7,11.4,28.30 MB,0.00 B,100.41 KB,1.05 MB
1745312061.248501,2.9,82.7,11.4,919.42 KB,637.66 KB,971.64 KB,1.63 MB
1745312062.2486372,20.6,82.9,11.4,3.21 MB,162.55 KB,724.41 KB,2.05 MB
1745312063.2495403,17.5,83.0,11.4,1.68 MB,326.34 KB,3.25 MB,1.52 MB
1745312064.2490292,14.4,83.1,11.4,969.56 KB,604.97 KB,-1 B,-1 B
1745312065.2485132,18.6,83.2,11.4,3.44 MB,2.36 MB,16.91 MB,6.19 MB
1745312066.2498364,11.4,83.3,11.4,902.27 KB,11.98 KB,1.86 MB,1.44 MB
1745312067.2486467,7.1,83.0,11.4,420.32 KB,304.23 KB,-1 B,-1 B
1745312068.2489994,8.8,83.1,11.4,128.22 KB,212.37 KB,148.02 KB,489.80 KB
1745312069.2486687,5.8,83.0,11.4,51.82 KB,211.27 KB,495.43 KB,33.92 KB
1745312070.248398,8.7,83.0,11.4,2.01 MB,55.97 KB,49.75 MB,5.18 MB
1745312071.2487276,8.7,83.0,11.4,653.12 KB,605.04 KB,-1 B,-1 B
1745312072.248534,10.4,83.0,11.4,518.57 KB,251.31 KB,550.63 KB,1.22 MB
1745312073.2491403,17.8,83.1,11.4,828.05 KB,0.00 B,3.96 MB,2.98 MB
1745312074.2496295,8.0,83.1,11.4,0.00 B,502.70 KB,16.36 MB,3.38 MB
1745312075.2494855,8.0,83.2,11.4,128.17 KB,2.13 MB,328.44 KB,349.20 KB
1745312076.2488263,12.1,83.0,11.4,796.70 KB,88.08 KB,-1 B,-1 B
1745312077.2491832,10.6,83.5,11.4,2.18 MB,27.95 KB,10.35 MB,9.96 MB
1745312078.2487693,10.7,83.6,11.4,640.71 KB,232.44 KB,2.18 MB,5.68 MB
1745312079.2487879,12.0,83.6,11.4,11.98 KB,51.93 KB,0.00 B,0.00 B
1745312080.2491763,13.2,83.6,11.4,552.41 KB,485.36 KB,509.91 KB,335.76 KB
1745312081.248526,10.9,83.3,11.4,592.12 KB,692.15 KB,76.44 KB,0.00 B
1745312082.2491329,8.8,83.5,11.4,0.00 B,432.42 KB,-1 B,-1 B
1745312083.2487304,16.1,83.6,11.4,3.05 MB,1.31 MB,-1 B,-1 B
1745312084.2490985,6.6,83.5,11.4,635.81 KB,523.84 KB,44.44 MB,811.74 KB
1745312085.248559,11.0,84.0,11.4,1.80 MB,147.82 KB,4.52 MB,10.38 MB
1745312086.2487533,6.2,84.0,11.4,307.87 KB,1.16 MB,-1 B,-1 B
1745312087.2488918,5.7,84.0,11.4,127.98 KB,271.97 KB,365.76 KB,3.18 MB
1745312088.248855,7.4,84.0,11.4,27.93 KB,0.00 B,0.00 B,0.00 B
1745312089.2482994,8.3,84.0,11.4,0.00 B,44.10 KB,332.57 KB,302.95 KB
